index,material_no,name,category,glass_t1_mm,glass_cavity_mm,glass_t2_mm,spectrum_ok,R_125_Hz,R_250_Hz,R_500_Hz,R_1000_Hz,R_2000_Hz,R_4000_Hz
2365,2486,droge beglazing: band met/zonder topafdichting [3],,,,,True,38.0,45.0,52.0,58.0,60.0,0.0
2366,2487,gesloten beglazing of droog + schuimband: kunststof + lipprofiel [3],,,,,True,45.0,50.0,54.0,58.0,60.0,0.0
2367,2488,bij ramen geen dichting: spleetbreedte 1 mm - 5 mm [3],,,,,True,19.0,21.0,22.0,20.0,18.0,0.0
2368,2489,bij ramen 'normale' kierdichting: kozijndiepte 20 mm - 50 mm [3],,,,,True,24.0,27.0,30.0,31.0,32.0,0.0
2369,2490,bij ramen 'normale' kierdichting: kozijndiepte 60 mm - 120 mm [3],,,,,True,28.0,31.0,33.0,34.0,26.0,0.0
2370,2491,"lipprofiel, indrukking 2 mm - 6 mm [3]",,,,,True,24.0,28.0,30.0,25.0,22.0,0.0
2371,2492,"lipprofiel, indrukking > 8 mm [3]",,,,,True,39.0,41.0,40.0,33.0,33.0,0.0
2372,2493,"bij ramen buisprofiel, indrukking 2 mm - 3 mm [3]",,,,,True,35.0,36.0,34.0,28.0,28.0,0.0
2373,2494,"bij ramen buisprofiel, indrukking > 4 mm [3]",,,,,True,41.0,44.0,44.0,38.0,39.0,0.0
2374,2495,"bij ramen buis- of tussenprofiel, indrukking > 6 mm [3]",,,,,True,38.0,46.0,46.0,46.0,45.0,0.0
2375,2496,bij ramen matige dubbele dichting [3],,,,,True,36.0,39.0,42.0,43.0,38.0,0.0
2376,2497,bij ramen goede dubbele dichting [3],,,,,True,46.0,49.0,52.0,53.0,48.0,0.0
2377,2498,"bij ramen dubbel-profiel, indrukking > 3.5 mm [3]",,,,,True,41.0,45.0,46.0,44.0,48.0,0.0
2378,2499,bij deuren zonder extra dichting [3],,,,,True,19.0,21.0,22.0,20.0,18.0,0.0
2379,2500,"bij deuren met tochtband, geen dichting bij dorpel [3]",,,,,True,29.0,31.0,32.0,30.0,28.0,0.0
2380,2501,bij deuren met enkele aanslag rondom [3],,,,,True,31.0,34.0,37.0,38.0,33.0,0.0
2381,2502,bij deuren met dubbele aanslag rondom [3],,,,,True,36.0,39.0,42.0,43.0,38.0,0.0
2382,2503,bij dakraam-op-kast met enkel profiel [3],,,,,True,29.0,31.0,32.0,30.0,28.0,0.0
2383,2504,bij dakraam-in-kast met enkel profiel [3],,,,,True,36.0,39.0,42.0,43.0,38.0,0.0
2384,2505,bij dakraam met drievoudig profiel [3],,,,,True,46.0,49.0,52.0,53.0,48.0,0.0
2385,2506,Buva SusStream Luna 14-ZR [1],,,,,True,32.7,33.9,41.6,54.0,57.0,0.0
2386,2507,Buva SusStream Luna 24-ZR [1],,,,,True,31.4,32.4,38.9,42.9,38.4,0.0
2387,2508,Buva SusStream Luna 26-ZR [1],,,,,True,30.3,30.2,38.4,41.2,40.2,0.0
2388,2509,Buva SusStream Luna 27-ZR [1],,,,,True,29.1,28.1,34.0,39.6,37.6,0.0
2389,2510,Buva SusStream Marsa 14-ZR [1],,,,,True,32.6,35.3,44.3,51.0,56.6,0.0
2390,2511,Buva SusStream Marsa 22-ZR [1],,,,,True,31.3,30.9,40.8,49.7,53.3,0.0
2391,2512,Buva SusStream Marsa 27-ZR [1],,,,,True,32.4,32.3,39.8,45.5,48.6,0.0
2392,2513,Buva SusStream Marsa 28-ZR [1],,,,,True,29.1,26.3,35.1,43.2,44.1,0.0
2393,2514,Buva SusStream Terra 13-ZR [1],,,,,True,32.8,37.3,47.8,57.1,62.5,0.0
2394,2515,Buva SusStream Terra 21-ZR [1],,,,,True,31.9,35.5,46.1,55.2,62.1,0.0
2395,2516,Buva SusStream Terra 26-ZR [1],,,,,True,30.0,29.9,41.3,49.9,51.9,0.0
2396,2517,Buva SusStream Terra 27-ZR [1],,,,,True,29.2,27.6,37.8,47.4,50.4,0.0
2397,2518,Buva SusStream Suna 12-ZR [1],,,,,True,36.6,40.0,48.7,58.1,50.7,0.0
2398,2519,Buva SusStream Suna 18-ZR [1],,,,,True,36.5,36.3,48.7,49.4,51.6,0.0
2399,2520,Buva SusStream Suna 25-ZR [1],,,,,True,31.0,32.5,43.9,51.9,56.1,0.0
2400,2521,Buva SusStream Suna 27-ZR [1],,,,,True,29.9,30.2,43.2,49.3,53.8,0.0
2401,2522,AGC Thermobel Phonibel 1633,,,,,True,23.9,22.9,27.3,38.0,36.9,36.3
2402,2523,AGC Thermobel Phonibel 2233,,,,,True,23.1,21.8,28.7,39.8,36.9,36.1
2403,2524,AGC Thermobel Phonibel 2534,,,,,True,22.7,22.9,30.3,39.8,37.5,37.8
2404,2525,AGC Thermobel Phonibel 2835,,,,,True,22.1,24.8,33.1,42.1,35.5,39.7
2405,2526,AGC Thermobel Phonibel 3137,,,,,True,24.5,28.9,36.0,39.9,35.4,42.4
2406,2527,AGC Thermobel Phonibel S 3037,,,,,True,23.9,27.5,36.1,41.7,35.8,38.7
2407,2528,AGC Thermobel Phonibel S 3239,,,,,True,23.5,28.6,36.5,43.2,39.6,47.4
2408,2529,AGC Thermobel Phonibel S 3339,,,,,True,29.5,30.3,37.6,38.0,38.5,50.4
2409,2530,AGC Thermobel Phonibel S 4541,,,,,True,30.4,36.1,40.2,39.6,39.9,40.9
2410,2531,AGC Phonibel ST 2738,,,,,True,21.6,25.7,34.7,44.9,47.8,49.3
2411,2532,AGC Phonibel ST 2940,,,,,True,20.6,29.2,37.7,47.1,45.0,52.7
2412,2533,AGC Phonibel ST 3141,,,,,True,23.2,28.6,38.7,48.7,48.2,53.4
2413,2534,AGC Phonibel ST 3142,,,,,True,23.0,31.1,38.5,46.9,47.2,55.6
2414,2535,AGC Phonibel ST 3342,,,,,True,24.5,29.9,39.6,47.4,48.4,55.4
2415,2536,AGC Phonibel ST 3343,,,,,True,23.9,32.6,40.2,47.5,44.1,54.8
2416,2537,AGC Phonibel ST 3543,,,,,True,25.8,33.5,40.3,46.7,44.4,57.2
2417,2538,AGC Phonibel ST 3743,,,,,True,26.9,32.8,40.4,46.9,45.6,56.6
2418,2539,AGC Phonibel ST 3843,,,,,True,25.3,32.0,41.4,47.7,45.3,56.7
2419,2540,AGC Phonibel ST 3344,,,,,True,25.5,33.0,41.3,46.4,49.2,57.1
2420,2541,AGC Phonibel ST 3745,,,,,True,28.1,34.9,43.5,45.8,46.4,59.4
